,,,TUE 1 JUL 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,Week Day,Date,Vehicle No.,Actual arrival time,Time on bay,Time of Departure,Actual departure time,Haulier,Customer Depot,Search,Ferry Time,Driver,Vehicle,Trailer,Trailer number,Vehicle Type,Pallet Type,ANW,ASH,MORAN,GRA,BAL,CRA,DUN,Crate Collect,Returns Collect,COST,SPECIAL / CANCELLED,BOOKING REF,LOAD NOTES,Booking Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,4,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,4,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,4,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,4,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,4,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,4,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,4,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,TOTAL,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,DD,,0,0,49,0,0,0,0,0,0,£0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,LIDL NORTHFLEET,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,DD,EUR,,,17,,,,,,,,,NFL_010725616,,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,LIDL NORTHFLEET,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,DD,EUR,,,18,,,,,,,,,,FAILED DELIVERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,SAINSBURY'S DARTFORD,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,DD,STD,,,14,,,,,,,,,2R0998,ON HEADBOARD,7:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,5,,,23:30,,MORAN,,LIDL NORTHFLEET|LIDL NORTHFLEET|SAINSBURY'S DARTFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,TOTAL,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,SD,,0,0,26,0,0,0,0,0,0,£0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,LIDL SOUTHAMPTON,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,SD,EUR,,,2,,,,,,,,,SOU_010725338,,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,LIDL SOUTHAMPTON,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,SD,EUR,,,1,,,,,,,,,,NI CROSS DOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,SAINSBURY'S BASINGSTOKE,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,SD,STD,,,23,,,,,,,,,W20171,ON HEADBOARD,9:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202527,TUE,7/1/2025,6,,,23:30,,MORAN,,LIDL SOUTHAMPTON|LIDL SOUTHAMPTON|SAINSBURY'S BASINGSTOKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
